eu_code,tên sản phẩm,annex1_legal_ref,hs6 hiện tại,đánh giá,mã HS6 đúng đề xuất (nếu sai/ngờ),lý do + nguồn dẫn,hs6_current_desc,hs6_proposed_desc,source_concordance_url,source_hs2012_url,source_annex1_url,original_annex1_group,original_note
610000,Teas,0610000 Teas | Camellia sinensis,090210;090220;090230;090240,SAI,090210;090220;090230;090240,"hs6 chứa bốn mã tea nên không phải một HS6; cần explode theo green/black và packing. Nguồn EU/loài: 0610000 Teas | Camellia sinensis. HS2012 hiện tại: 090210: Tea, green: (not fermented), in immediate packings of a content not exceeding 3kg | 090220: Tea, green: (not fermented), in immediate packings of a content exceeding 3kg | 090230: Tea, black: (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3kg | 090240: Tea, black: (fermented) and partly fermented tea, in immediate packings of a content exceeding 3kg. HS2012 đề xuất: 090210: Tea, green: (not fermented), in immediate packings of a content not exceeding 3kg | 090220: Tea, green: (not fermented), in immediate packings of a content exceeding 3kg | 090230: Tea, black: (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3kg | 090240: Tea, black: (fermented) and partly fermented tea, in immediate packings of a content exceeding 3kg.","090210: Tea, green: (not fermented), in immediate packings of a content not exceeding 3kg | 090220: Tea, green: (not fermented), in immediate packings of a content exceeding 3kg | 090230: Tea, black: (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3kg | 090240: Tea, black: (fermented) and partly fermented tea, in immediate packings of a content exceeding 3kg","090210: Tea, green: (not fermented), in immediate packings of a content not exceeding 3kg | 090220: Tea, green: (not fermented), in immediate packings of a content exceeding 3kg | 090230: Tea, black: (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3kg | 090240: Tea, black: (fermented) and partly fermented tea, in immediate packings of a content exceeding 3kg",https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,06xxxxx Chè/cà phê/hật cacao/thảo mộc,[VN-overlay: 090210; 090220; 090230; 090240→090210;090220;090230;090240] Chè/tea (Camellia sinensis) — one-to-many
241990,Others (2),0241990 Others ( 2 ),070410,NGỜ,070410;070490,"Others trong flowering brassica có thể rơi vào 070410 hoặc brassica n.e.c. 070490; cần kiểm loài. Nguồn EU/loài: 0241990 Others ( 2 ). HS2012 hiện tại: 070410: Vegetables, brassica: cauliflowers and headed broccoli, fresh or chilled. HS2012 đề xuất: 070410: Vegetables, brassica: cauliflowers and headed broccoli, fresh or chilled | 070490: Vegetables, brassica: edible, n.e.c. in heading no. 0704, fresh or chilled.","070410: Vegetables, brassica: cauliflowers and headed broccoli, fresh or chilled","070410: Vegetables, brassica: cauliflowers and headed broccoli, fresh or chilled | 070490: Vegetables, brassica: edible, n.e.c. in heading no. 0704, fresh or chilled",https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,02xxxxx Rau,"residual ASEAN — giữ nguyên, hoàn thiện nếu nối lại ASEAN"
161040,Kumquats,0161040 Kumquats | Fortunella japonica; Fortunella margarita,081090,SAI,080590,"Kumquats là citrus fruit n.e.c.; 081090 không phải mã citrus phù hợp. Nguồn EU/loài: 0161040 Kumquats | Fortunella japonica; Fortunella margarita. HS2012 hiện tại: 081090: Fruit, edible: fruits n.e.c. in heading no. 0801 to 0810, fresh. HS2012 đề xuất: 080590: Fruit, edible: citrus fruit n.e.c. in heading no. 0805, fresh or dried.","081090: Fruit, edible: fruits n.e.c. in heading no. 0801 to 0810, fresh","080590: Fruit, edible: citrus fruit n.e.c. in heading no. 0805, fresh or dried",https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,01xxxxx Trái cây (fresh/frozen) + nuts,"residual ASEAN — giữ nguyên, hoàn thiện nếu nối lại ASEAN | REANCHOR 081030->081090: lump về nec đúng nhóm (ngoài-panel)"
212990,Others (2),0212990 Others ( 2 ),071410,SAI,071490,"Others under tropical root/tuber vegetables không phải cassava 071410; dùng starchy roots n.e.c. 071490. Nguồn EU/loài: 0212990 Others ( 2 ). HS2012 hiện tại: 071410: Vegetable roots and tubers: manioc (cassava), with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets. HS2012 đề xuất: 071490: Vegetable roots and tubers: arrowroot, salep, Jerusalem artichokes and similar roots and tubers (not manioc, sweet potatoes, yams, taro or yautia), high starch or inulin content, fresh, chilled, frozen, dried, sliced or not, or in pellet form: sago pith.","071410: Vegetable roots and tubers: manioc (cassava), with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets","071490: Vegetable roots and tubers: arrowroot, salep, Jerusalem artichokes and similar roots and tubers (not manioc, sweet potatoes, yams, taro or yautia), high starch or inulin content, fresh, chilled, frozen, dried, sliced or not, or in pellet form: sago pith",https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,02xxxxx Rau,"residual ASEAN — giữ nguyên, hoàn thiện nếu nối lại ASEAN"
140040,Plums,0140040 Plums | Prunus domestica,080940,NGỜ,080940;081090,"Plums/sloes fit 080940, nhưng Annex có Chinese jujubes/red dates; có thể cần 081090. Nguồn EU/loài: 0140040 Plums | Prunus domestica. HS2012 hiện tại: 080940: Fruit, edible: plums and sloes, fresh. HS2012 đề xuất: 080940: Fruit, edible: plums and sloes, fresh | 081090: Fruit, edible: fruits n.e.c. in heading no. 0801 to 0810, fresh.","080940: Fruit, edible: plums and sloes, fresh","080940: Fruit, edible: plums and sloes, fresh | 081090: Fruit, edible: fruits n.e.c. in heading no. 0801 to 0810, fresh",https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,01xxxxx Trái cây (fresh/frozen) + nuts,"residual ASEAN — giữ nguyên, hoàn thiện nếu nối lại ASEAN"
1013990,Others (2),1013990 Others ( 2 ),,NGỜ,,Dòng đang để trống/loại vì thuộc sản phẩm động vật hoặc ngoài crop scope; nếu concordance toàn Annex I thì cần xây ánh xạ động vật riêng. Nguồn EU/loài: 1013990 Others ( 2 ). HS2012 hiện tại: (trống).,(trống),,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,10xxxxx SP động vật (cạn),"residual ASEAN — giữ nguyên, hoàn thiện nếu nối lại ASEAN"
242000,(b) head brassica,0242000 Whole plant after removal of roots and decayed leaves (except Brussels sprouts),070410,SAI,070420;070490,"Head brassica gồm Brussels sprouts và cabbages; 070410 là flowering brassica. Nguồn EU/loài: 0242000 Whole plant after removal of roots and decayed leaves (except Brussels sprouts). HS2012 hiện tại: 070410: Vegetables, brassica: cauliflowers and headed broccoli, fresh or chilled. HS2012 đề xuất: 070420: Vegetables, brassica: brussel sprouts, fresh or chilled | 070490: Vegetables, brassica: edible, n.e.c. in heading no. 0704, fresh or chilled.","070410: Vegetables, brassica: cauliflowers and headed broccoli, fresh or chilled","070420: Vegetables, brassica: brussel sprouts, fresh or chilled | 070490: Vegetables, brassica: edible, n.e.c. in heading no. 0704, fresh or chilled",https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,02xxxxx Rau,"residual ASEAN — giữ nguyên, hoàn thiện nếu nối lại ASEAN"
1015000,(e) equine,1015000  | Equus spp.,,NGỜ,,Dòng đang để trống/loại vì thuộc sản phẩm động vật hoặc ngoài crop scope; nếu concordance toàn Annex I thì cần xây ánh xạ động vật riêng. Nguồn EU/loài: 1015000  | Equus spp.. HS2012 hiện tại: (trống).,(trống),,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,10xxxxx SP động vật (cạn),"residual ASEAN — giữ nguyên, hoàn thiện nếu nối lại ASEAN"
900990,Others (2),0900990 Others ( 2 ),,NGỜ,121299,"Others in sugar plants có thể là 121299 nhưng là catch-all. Nguồn EU/loài: 0900990 Others ( 2 ). HS2012 hiện tại: (trống). HS2012 đề xuất: 121299: Vegetable products: fit for human consumption, n.e.c. in heading no. 1212, fresh, chilled, frozen or dried, whether or not ground.",(trống),"121299: Vegetable products: fit for human consumption, n.e.c. in heading no. 1212, fresh, chilled, frozen or dried, whether or not ground",https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,09xxxxx Cây mía-đường,"residual ASEAN — giữ nguyên, hoàn thiện nếu nối lại ASEAN"
1011020,Fat,1011020 Fat,,NGỜ,,Dòng đang để trống/loại vì thuộc sản phẩm động vật hoặc ngoài crop scope; nếu concordance toàn Annex I thì cần xây ánh xạ động vật riêng. Nguồn EU/loài: 1011020 Fat. HS2012 hiện tại: (trống).,(trống),,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,10xxxxx SP động vật (cạn),"residual ASEAN — giữ nguyên, hoàn thiện nếu nối lại ASEAN"
233000,(c) cucurbits with inedible peel,0233000 Whole product after removal of stems,080719,NGỜ,080711;080719,"Cucurbits with inedible peel gồm watermelons và melons; 080719 bỏ sót watermelons. Nguồn EU/loài: 0233000 Whole product after removal of stems. HS2012 hiện tại: 080719: Fruit, edible: melons, other than watermelons, fresh. HS2012 đề xuất: 080711: Fruit, edible: watermelons, fresh | 080719: Fruit, edible: melons, other than watermelons, fresh.","080719: Fruit, edible: melons, other than watermelons, fresh","080711: Fruit, edible: watermelons, fresh | 080719: Fruit, edible: melons, other than watermelons, fresh",https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,02xxxxx Rau,"residual ASEAN — giữ nguyên, hoàn thiện nếu nối lại ASEAN"
500040,Common milletproso millet,0500040 Common millet/proso millet | Panicum miliaceum,100821,NGỜ,100821;100829;100830;100840;100890,"Common millet/proso millet group includes millets, fonio, canary grass, Job’s tears, teff; 100821 chỉ millet seed. Nguồn EU/loài: 0500040 Common millet/proso millet | Panicum miliaceum. HS2012 hiện tại: 100821: Cereals: millet, seed. HS2012 đề xuất: 100821: Cereals: millet, seed | 100829: Cereals: millet, other than seed | 100830: Cereals: canary seeds | 100840: Cereals: fonio (Digitaria spp.) | 100890: Cereals: n.e.c. in chapter 10.","100821: Cereals: millet, seed","100821: Cereals: millet, seed | 100829: Cereals: millet, other than seed | 100830: Cereals: canary seeds | 100840: Cereals: fonio (Digitaria spp.) | 100890: Cereals: n.e.c. in chapter 10",https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,05xxxxx Ngũ cốc,"residual ASEAN — giữ nguyên, hoàn thiện nếu nối lại ASEAN"
1020030,Goat,1020030 Goat | Capra aegagrus hircus,,NGỜ,,Dòng đang để trống/loại vì thuộc sản phẩm động vật hoặc ngoài crop scope; nếu concordance toàn Annex I thì cần xây ánh xạ động vật riêng. Nguồn EU/loài: 1020030 Goat | Capra aegagrus hircus. HS2012 hiện tại: (trống).,(trống),,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,10xxxxx SP động vật (cạn),"residual ASEAN — giữ nguyên, hoàn thiện nếu nối lại ASEAN"
401030,Poppy seeds,0401030 Poppy seeds | Papaver somniferum subsp. somniferum,120791,ĐÚNG,,"Mã HS2012 hiện tại hợp lệ và mô tả khớp/đủ gần với sản phẩm Annex hoặc là mã NEC hợp lý trong cùng nhóm. Nguồn EU/loài: 0401030 Poppy seeds | Papaver somniferum subsp. somniferum. HS2012 hiện tại: 120791: Oil seeds: poppy seeds, whether or not broken.","120791: Oil seeds: poppy seeds, whether or not broken",,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,04xxxxx Hạt có dầu/oil fruits,"[map loài→HS: 0401030 Poppy seeds | Papaver somniferum] residual ASEAN — giữ nguyên, hoàn thiện nếu nối lại ASEAN | HSFIX2 2026-06-29 120510->120791: anh túc=poppy 120791"
1011030,Liver,1011030 Liver,,NGỜ,,Dòng đang để trống/loại vì thuộc sản phẩm động vật hoặc ngoài crop scope; nếu concordance toàn Annex I thì cần xây ánh xạ động vật riêng. Nguồn EU/loài: 1011030 Liver. HS2012 hiện tại: (trống).,(trống),,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,10xxxxx SP động vật (cạn),"residual ASEAN — giữ nguyên, hoàn thiện nếu nối lại ASEAN"
1014040,Kidney,1014040 Kidney,,NGỜ,,Dòng đang để trống/loại vì thuộc sản phẩm động vật hoặc ngoài crop scope; nếu concordance toàn Annex I thì cần xây ánh xạ động vật riêng. Nguồn EU/loài: 1014040 Kidney. HS2012 hiện tại: (trống).,(trống),,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,10xxxxx SP động vật (cạn),"residual ASEAN — giữ nguyên, hoàn thiện nếu nối lại ASEAN"
220000,Bulb vegetables,0220000 Bulb vegetables,070310,NGỜ,070310;070320;070390,"Bulb vegetables gồm onions/shallots, garlic và other alliaceous; 070310 chỉ một phần. Nguồn EU/loài: 0220000 Bulb vegetables. HS2012 hiện tại: 070310: Vegetables, alliaceous: onions and shallots, fresh or chilled. HS2012 đề xuất: 070310: Vegetables, alliaceous: onions and shallots, fresh or chilled | 070320: Vegetables, alliaceous: garlic, fresh or chilled | 070390: Vegetables, alliaceous: leeks and other kinds n.e.c. in heading no. 0703, fresh or chilled.","070310: Vegetables, alliaceous: onions and shallots, fresh or chilled","070310: Vegetables, alliaceous: onions and shallots, fresh or chilled | 070320: Vegetables, alliaceous: garlic, fresh or chilled | 070390: Vegetables, alliaceous: leeks and other kinds n.e.c. in heading no. 0703, fresh or chilled",https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,02xxxxx Rau,"residual ASEAN — giữ nguyên, hoàn thiện nếu nối lại ASEAN"
850010,Cloves,0850010 Cloves | Syzygium aromaticum ; syn: Eugenia caryophyllata,090710,NGỜ,090710;090720;090619;090620,"Cloves have whole/crushed split; Annex sub-items include cassia buds, likely cinnamon-tree-flower bark-spice codes. Nguồn EU/loài: 0850010 Cloves | Syzygium aromaticum ; syn: Eugenia caryophyllata. HS2012 hiện tại: 090710: Spices: cloves (whole fruit, cloves and stems), neither crushed nor ground. HS2012 đề xuất: 090710: Spices: cloves (whole fruit, cloves and stems), neither crushed nor ground | 090720: Spices: cloves (whole fruit, cloves and stems), crushed or ground | 090619: Spices: cinnamon and cinnamon-tree flowers, other than cinnamon (Cinnamomum zeylanicum Blume), neither crushed nor ground | 090620: Spices: cinnamon and cinnamon-tree flowers, crushed or ground.","090710: Spices: cloves (whole fruit, cloves and stems), neither crushed nor ground","090710: Spices: cloves (whole fruit, cloves and stems), neither crushed nor ground | 090720: Spices: cloves (whole fruit, cloves and stems), crushed or ground | 090619: Spices: cinnamon and cinnamon-tree flowers, other than cinnamon (Cinnamomum zeylanicum Blume), neither crushed nor ground | 090620: Spices: cinnamon and cinnamon-tree flowers, crushed or ground",https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,08xxxxx Gia vị,"residual ASEAN — giữ nguyên, hoàn thiện nếu nối lại ASEAN"
256010,Chervil,0256010 Chervil | Anthriscus cerefolium,070999,ĐÚNG,,"Mã HS2012 hiện tại hợp lệ và mô tả khớp/đủ gần với sản phẩm Annex hoặc là mã NEC hợp lý trong cùng nhóm. Nguồn EU/loài: 0256010 Chervil | Anthriscus cerefolium. HS2012 hiện tại: 070999: Vegetables: edible, n.e.c. in chapter 07, fresh or chilled.","070999: Vegetables: edible, n.e.c. in chapter 07, fresh or chilled",,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,02xxxxx Rau,"residual ASEAN — giữ nguyên, hoàn thiện nếu nối lại ASEAN | REANCHOR 070920->070999: lump về nec đúng nhóm (ngoài-panel)"
633990,Others (2),0633990 Others ( 2 ),,NGỜ,121190,"Others in roots herbal infusions có thể là 121190 nhưng là catch-all. Nguồn EU/loài: 0633990 Others ( 2 ). HS2012 hiện tại: (trống). HS2012 đề xuất: 121190: Plants and parts (including seeds and fruits) n.e.c. in heading no. 1211, used primarily in perfumery, pharmacy or for insecticidal, fungicidal purposes: fresh or dried, whether or not cut, crushed or powdered.",(trống),"121190: Plants and parts (including seeds and fruits) n.e.c. in heading no. 1211, used primarily in perfumery, pharmacy or for insecticidal, fungicidal purposes: fresh or dried, whether or not cut, crushed or powdered",https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,06xxxxx Chè/cà phê/hật cacao/thảo mộc,"residual ASEAN — giữ nguyên, hoàn thiện nếu nối lại ASEAN"
500090,Wheat,0500090 Wheat | Triticum aestivum,100111; 100119; 100191; 100199,SAI,100111;100119;100191;100199;100860,"hs6 chứa nhiều mã wheat nên không phải một HS6; Annex còn có triticale 100860. Nguồn EU/loài: 0500090 Wheat | Triticum aestivum. HS2012 hiện tại: 100111: Cereals: wheat and meslin, durum wheat, seed | 100119: Cereals: wheat and meslin, durum wheat, other than seed | 100191: Cereals: wheat and meslin, other than durum wheat, seed | 100199: Cereals: wheat and meslin, other than durum wheat, other than seed. HS2012 đề xuất: 100111: Cereals: wheat and meslin, durum wheat, seed | 100119: Cereals: wheat and meslin, durum wheat, other than seed | 100191: Cereals: wheat and meslin, other than durum wheat, seed | 100199: Cereals: wheat and meslin, other than durum wheat, other than seed | 100860: Cereals: triticale.","100111: Cereals: wheat and meslin, durum wheat, seed | 100119: Cereals: wheat and meslin, durum wheat, other than seed | 100191: Cereals: wheat and meslin, other than durum wheat, seed | 100199: Cereals: wheat and meslin, other than durum wheat, other than seed","100111: Cereals: wheat and meslin, durum wheat, seed | 100119: Cereals: wheat and meslin, durum wheat, other than seed | 100191: Cereals: wheat and meslin, other than durum wheat, seed | 100199: Cereals: wheat and meslin, other than durum wheat, other than seed | 100860: Cereals: triticale",https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,05xxxxx Ngũ cốc,Wheat (Triticum) → one-to-many toàn bộ 1001.xx [SỬA: không pin durum-seed]
402030,Oil palms fruits,0402030 Oil palms fruits | Attalea maripa; Elaeis guineensis; Elaeis oleifera,120799,SAI,120710,"Oil palm fruits/palm nuts/kernels phù hợp 120710 hơn residual 120799. Nguồn EU/loài: 0402030 Oil palms fruits | Attalea maripa; Elaeis guineensis; Elaeis oleifera. HS2012 hiện tại: 120799: Oil seeds and oleaginous fruits: n.e.c. in heading no. 1207, whether or not broken. HS2012 đề xuất: 120710: Oil seeds: palm nuts and kernels, whether or not broken.","120799: Oil seeds and oleaginous fruits: n.e.c. in heading no. 1207, whether or not broken","120710: Oil seeds: palm nuts and kernels, whether or not broken",https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,04xxxxx Hạt có dầu/oil fruits,"residual ASEAN — giữ nguyên, hoàn thiện nếu nối lại ASEAN | HSFIX3 2026-06-29 071120->120799: quả cọ=oilfruit nec; WCO hd1207 'oleaginous fruits', 120710=nhân (loại)"
163070,Guavas,0163070 Guavas | Psidium guajava,080450,ĐÚNG,,"Mã HS2012 hiện tại hợp lệ và mô tả khớp/đủ gần với sản phẩm Annex hoặc là mã NEC hợp lý trong cùng nhóm. Nguồn EU/loài: 0163070 Guavas | Psidium guajava. HS2012 hiện tại: 080450: Fruit, edible: guavas, mangoes and mangosteens, fresh or dried.","080450: Fruit, edible: guavas, mangoes and mangosteens, fresh or dried",,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,01xxxxx Trái cây (fresh/frozen) + nuts,"residual ASEAN — giữ nguyên, hoàn thiện nếu nối lại ASEAN"
153030,Raspberries (red and yellow),0153030 Raspberries (red and yellow) | Rubus idaeus,081020,ĐÚNG,,"Mã HS2012 hiện tại hợp lệ và mô tả khớp/đủ gần với sản phẩm Annex hoặc là mã NEC hợp lý trong cùng nhóm. Nguồn EU/loài: 0153030 Raspberries (red and yellow) | Rubus idaeus. HS2012 hiện tại: 081020: Fruit, edible: raspberries, blackberries, mulberries, and loganberries, fresh.","081020: Fruit, edible: raspberries, blackberries, mulberries, and loganberries, fresh",,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,01xxxxx Trái cây (fresh/frozen) + nuts,"residual ASEAN — giữ nguyên, hoàn thiện nếu nối lại ASEAN"
810000,Seed spices,0810000 Seed spices,090921,NGỜ,090961;090962;090921;090922;090931;090932;090811;090812;091099,"Seed spices là nhóm nhiều mã; 090921 chỉ coriander whole. Nguồn EU/loài: 0810000 Seed spices. HS2012 hiện tại: 090921: Spices: coriander seeds, neither crushed nor ground. HS2012 đề xuất: 090961: Spices: seeds of anise, badian, caraway or fennel: juniper berries, neither crushed nor ground | 090962: Spices: seeds of anise, badian, caraway or fennel: juniper berries, crushed or ground | 090921: Spices: coriander seeds, neither crushed nor ground | 090922: Spices: coriander seeds, crushed or ground | 090931: Spices: cumin seeds, neither crushed nor ground | 090932: Spices: cumin seeds, crushed or ground | 090811: Spices: nutmeg, neither crushed nor ground | 090812: Spices: nutmeg, crushed or ground | 091099: Spices: n.e.c. in heading no. 0910.","090921: Spices: coriander seeds, neither crushed nor ground","090961: Spices: seeds of anise, badian, caraway or fennel: juniper berries, neither crushed nor ground | 090962: Spices: seeds of anise, badian, caraway or fennel: juniper berries, crushed or ground | 090921: Spices: coriander seeds, neither crushed nor ground | 090922: Spices: coriander seeds, crushed or ground | 090931: Spices: cumin seeds, neither crushed nor ground | 090932: Spices: cumin seeds, crushed or ground | 090811: Spices: nutmeg, neither crushed nor ground | 090812: Spices: nutmeg, crushed or ground | 091099: Spices: n.e.c. in heading no. 0910",https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,08xxxxx Gia vị,"residual ASEAN — giữ nguyên, hoàn thiện nếu nối lại ASEAN"
